Areaname,homicide,white,black,female,pauvrete,revenu,chomage,alloc,death_penalty,party
Autauga. AL,22.85444085,77.2,17.7,51.3,0.262,29927,8,10224,1,0
Baldwin. AL,17.01153004,83.5,9.4,51.1,0.275,35021,8.9,46097,1,0
Barbour. AL,10.42472341,46.8,46.9,46.9,0.25,23663,12.1,6213,1,0
Bibb. AL,20.3826377,75,22,46.3,0.259,23415,10.7,4960,1,0
Blount. AL,4.627645899,88.9,1.3,50.5,0.244,24586,8.9,12592,1,0
Bullock. AL,40.05461994,21.9,70.2,45.8,0.226,21430,14.7,1778,1,0
Butler. AL,36.56581847,54.1,43.4,53,0.27,27363,12.1,4864,1,0
Calhoun. AL,68.10950114,73.6,20.6,51.8,0.275,30907,9.5,26505,1,0
Chambers. AL,56.23543124,58.1,38.7,52.2,0.274,25411,13.7,9605,1,0
Cherokee. AL,7.362565445,92.1,4.6,50.4,0.309,25285,9.1,7100,1,0
Chilton. AL,91.92245933,81.1,9.7,50.5,0.275,26532,9.4,9383,1,0
Choctaw. AL,0,55.6,43.4,51.7,0.293,25526,11.4,4274,1,0
Clarke. AL,13.43982797,54,43.9,52.7,0.24,26922,15.8,6715,1,0
Clay. AL,9.530791789,80.3,14.8,51,0.31,26093,13.9,3602,1,0
Cleburne. AL,31.16742327,93.2,3.3,50.2,0.252,26845,8.4,3578,1,0
Coffee. AL,25.2904287,72.3,16.7,50.6,0.272,31838,7.3,10158,1,0
Colbert. AL,62.77567305,79.6,16.1,51.9,0.288,27463,9.7,15425,1,0
Conecuh. AL,20.88005568,51.1,46.5,51.5,0.294,24715,16.3,3630,1,0
Coosa. AL,22.7358848,65.9,31,50.4,0.295,23445,13.1,3110,1,0
Covington. AL,25.62844212,84.1,12.5,51.6,0.276,26804,9.1,9743,1,0
Crenshaw. AL,18.14091866,72.1,23.4,51.7,0.275,29642,8.7,3356,1,0
Cullman. AL,18.46462374,92.7,1.1,50.6,0.272,27404,8.8,19832,1,0
Dale. AL,36.7624151,71.1,19.3,50.6,0.281,27938,8.5,9771,1,0
